# Scan b64424c3-6233-4a78-ac8a-230b41f7b427 at 922db007d1df29270b4e5575654b1b2d26bb371f
# Findings JSON SHA-256 0556984340d1b0596714535941f0a220a28504cc8a5eec3e5502fc1c2817c5de
# Original scan was cancelled. These 81 retained entries are not an exhaustive audit.
# open-pr means locally verified, not merged or deployed. unreviewed is not a dismissal.
# Duplicate-looking entries keep their original IDs until shared remediation is verified.
finding_id	severity	status	evidence	path	title
csf_4fe23b28847b825afda16082	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/env.rs	Pulling a team lockfile can exhaust memory through a symlink or oversized response
csf_c43e6b935cebe1b774837b04	medium	needs-source	Only generated website artifacts were reported; no tracked site source exists on a0cc333b; deployment not inspected	site/dist/_build/assets/dashboard-DHOeH11R.js	Opening the dashboard writes the user's bearer license key to worker logs
csf_3f91ef295a2179476aaaa64a	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/packages/install.rs	Installing an explicitly selected local Arch package bypasses the configured signature requirement
csf_164322fe35bc00f3b4be880e	medium	unreviewed	Compare current code and existing fixes before reproduction	scripts/release-smoke.sh	Replacing release assets can execute unattested code in the native macOS smoke job
csf_d960496333cbe84e21371e07	medium	unreviewed	Compare current code and existing fixes before reproduction	.github/workflows/ci.yml	Opening a same-repository pull request can expose a write-scoped CI token to PR-controlled workflow code
csf_3675e8553a51c92508735709	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute root-installed package contents
csf_60aa04218a315708d59a2e1c	medium	unreviewed	Compare current code and existing fixes before reproduction	src/config/settings.rs	A forged AUR cache archive can cross the reviewed-source boundary and install payload files as root
csf_419e28b972c5f3af217a2958	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	A same-user process can substitute AUR package bytes before root installation
csf_dcba4a97b5763ebfa9a1303b	medium	unreviewed	Compare current code and existing fixes before reproduction	src/config/settings.rs	A same-user process can substitute an AUR package that is later installed as root
csf_82c83c32e7d10e80fc5e79b1	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	A poisoned AUR cache can install attacker-selected package payloads as root
csf_46f92dc83a5f69fa30c5e5d7	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Reusing an AUR cached build can install attacker-substituted payload files as root
csf_9ce12c05e4b86f070225a2a3	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Racing a fresh AUR build output can substitute a root-installed package payload
csf_62033e8eb27a759dd5e7cb30	medium	unreviewed	Compare current code and existing fixes before reproduction	src/config/mise_env.rs	Entering a repository can silently hijack commands through project environment settings
csf_e757fdfad23773ba4de1f501	medium	unreviewed	Compare current code and existing fixes before reproduction	src/config/mise_env.rs	Entering a repository can silently hijack commands through project environment settings
csf_f6e23cc41c7dc784d27831cc	medium	unreviewed	Compare current code and existing fixes before reproduction	src/config/mise_env.rs	Entering a repository can put attacker-controlled executables on the shell PATH
