ts	phase	decision	why	evidence	result
2026-09-05T23:10:00Z	test-audit-22	privacy JSON flag has no JSON oracle	accepted flag currently routes to human text	tests/privacy_cli_tests.rs:435; src/cli/telemetry.rs:18	OPEN: parsed contract test and production repair if reproduced
2026-09-05T23:10:00Z	test-audit-23	dry-run checks only observe preview wording	preview followed by mutation can pass	tests/cli_integration.rs:130; tests/e2e_package_operations.rs:220; tests/arch_cli_contracts.rs:119	OPEN: seed state and compare exact survivors plus privileged effects
2026-09-05T23:10:00Z	test-audit-24	drift/determinism cases accept pre-load banners or stale capture files	capture statuses discarded; second capture failure not distinguished	tests/integration_suite.rs:608,1120,1219	OPEN: success and semantic state/hash assertions
2026-09-05T23:10:00Z	test-audit-25	backend characterization mislabeled as product orchestration	old downloader URL replica, mock-only logic, direct ALPM empty transactions, manually chained security workflow	tests/ubuntu_compatibility_tests.rs; tests/logic_tests.rs; tests/alpm_harness_integration.rs:163; tests/security_privilege_escalation_tests.rs:1232	OPEN: retain useful dependency tests with honest names; add production callers
2026-09-05T23:10:00Z	test-audit-26	symlink/parser/runtime properties miss named behavior	ordinary directories not symlinks; status does not parse tool versions; Switching banner precedes dispatch	tests/property_tests.rs::prop_symlink_depth; prop_tool_versions_parsing; prop_runtime_normalization	OPEN: real symlink and pin fixtures; known active version; deny network
2026-09-05T23:10:00Z	test-audit-27	non-regular download target test fails for unavailable network too	removing destination guard still produces failed download	tests/coverage_17.rs:363	OPEN: local HTTP server and assert pre-request rejection
2026-09-05T23:10:00Z	test-audit-28	malformed JWT cannot isolate signature rejection	payload cannot decode even with signature verification removed	tests/coverage_11.rs:351	OPEN: valid claims signed with unauthorized key
2026-09-05T23:10:00Z	test-audit-29	daemon validation metric not asserted; truncated frame accepted as clean EOF	requests_failed is distinct from validation_failures; read_exact UnexpectedEof conflates truncation with no bytes	tests/coverage_18.rs:135,338	OPEN: exact metric delta and 1-3 byte truncation controls
2026-09-05T23:10:00Z	test-audit-30	enabled telemetry excluded on obsolete account-gating premise; queue permits dropping everything	production opt-in is not account-gated; length upper bound accepts zero	tests/coverage_10.rs:8; src/core/telemetry.rs:965	OPEN: enabled enqueue exact identities and retained count; isolated receiver
2026-09-05T23:10:00Z	test-audit-31	OS lock and rollback ordering tests don't establish locking/orchestration	file existence is not process exclusion; local reverse loops are not Transaction::rollback	src/package_managers/debian_db/transaction.rs:2920,3392,3688	OPEN: child-process contention and production multi-path rollback
2026-09-05T23:10:00Z	test-audit-32	cache-version and traversal rejection fixtures have independent failure causes	invalid compressed payload or absent intermediate directories mask guard removal	src/package_managers/debian_db/db.rs:2537; src/hooks/mod.rs:1004	OPEN: valid payload with one header change; resolvable hostile path
2026-09-05T23:10:00Z	test-audit-33	orphan and backend-rejection tests call debug constants or test-only implementations	production logic changes can evade test-only branches	src/package_managers/debian_db/db.rs:2721; src/cli/size.rs:346; src/core/pacman_conf.rs:330	OPEN: production-boundary tests without bypass
2026-09-05T23:10:00Z	test-audit-34	Unix exit fixture encodes signal not normal nonzero exit	ExitStatus::from_raw(1) is SIGHUP	src/cli/commands.rs:754	OPEN: actual child exit 23 or correctly encoded wait status
2026-09-05T23:10:00Z	test-audit-35	concurrency and runtime increment tests reproduce locks/copying outside production wrapper	removing production lock/copy can leave the local model correct	src/core/usage.rs:792; src/runtimes/rust.rs:1137	OPEN: invoke production orchestration with controlled inputs
2026-09-05T23:10:00Z	test-audit-36	audit-hash tests tamper only description and reuse production oracle	omitting another integrity-bound field may survive	src/core/security/audit.rs:1158	OPEN: tamper every integrity-bound field independently
2026-09-05T23:10:00Z	test-audit-37	settings and fuzz tests bypass real load validation	toml deserialization does not apply known-key/path checks	src/config/settings.rs:489,620; fuzz/fuzz_targets/parse_config.rs	OPEN: actual loading boundary and historical fixtures
2026-09-05T23:10:00Z	test-audit-38	local expectations mask dispatch/normalization regressions	opt-out case matching, runtime prerelease filter, migration consent and fuzzy first-result fixtures	src/core/telemetry.rs:1194; src/runtimes/python.rs:589; src/cli/migrate.rs:633; src/core/completion.rs:332	OPEN: call real consumer and vary input ordering/identity
2026-09-05T23:10:00Z	test-audit-39	sandbox permission test uses independent bwrap args and accepts startup failure	production mount regression can be unrelated to tested command	src/package_managers/aur/client.rs:4051	OPEN: production mounts plus successful startup control; retain security restrictions
2026-09-05T23:10:00Z	test-audit-40	additional weak-positive assertions need focused review	optional lookup assertions, empty search, unobserved flush/scheduling, placeholder too short, mismatched license key absent	src/package_managers/pacman_db/db.rs:1681; src/package_managers/alpm_direct.rs:426; src/cli/tea/renderer.rs:167; src/cli/tea/info_model.rs:469; src/core/security/secrets.rs:653; src/core/license.rs:364	OPEN: static candidates, no mutation-survival claim
2026-09-05T23:10:00Z	test-audit-41	additional integration contracts too permissive	empty security results, DTO-only telemetry, mock removal survivors, discarded Docker error exit, graph with no jobs, wire roundtrip without fixed bytes	tests/integration/security_real_world.rs; tests/telemetry_tests.rs; tests/cross_platform_mock_tests.rs; tests/docker_e2e.rs:261; tests/aur_dependency_resolution.rs:488; tests/e2e_tests.rs:676	OPEN: static candidates; preserve valid smoke and serialization checks
2026-09-05T23:10:00Z	test-audit-fuzz	fuzz targets protect narrower properties than their surrounding feature names	package validation target has no positive oracle; IPC target bypasses version framing; config bypasses loading	fuzz/fuzz_targets/package_names.rs; ipc_messages.rs; parse_config.rs	retain targets; add boundary properties; inline positive/version tests supply countercoverage
2026-09-05T23:10:00Z	test-audit-python	two Python test files run actual helper commands with controlled inputs	known positive and negative outcomes, no product replicas found in inspected tests	scripts/test_require_workflow_success.py; scripts/test_check_perf_regression.py	10 tests passed; no Python mutations run
2026-09-05T23:30:00Z	test-audit-runtime-fix	seeded Node/Python installations and required current-link transition	these two tests previously downloaded Node when claiming version detection	tests/integration_suite.rs::runtime_management::test_use_with_tool_versions; edge_cases::test_deeply_nested_directory	both passed in final network-denied run; tests execute activation not runtime binaries
2026-09-05T23:30:00Z	test-audit-control	discarded one rerun contaminated by shared mutation build cache	mutated scratch binaries and normal source must not share accepted cached crate artifacts	cargo clean --package omg --target-dir ~/.cache/build-targets/omg-test-audit/target	fresh normal-source archive rebuilt before final verification; all scratch mutations remained outside checkout
2026-09-05T23:30:00Z	test-audit-final	2324 tests executed: 2311 reported passes, 13 failures; 41 skipped	Arch default feature set; bwrap unshared network/PID/etc, no capabilities, read-only root/repo, private HOME/run/tmp, scratch on disk; retries 0, two test threads, 120s termination	cargo nextest archive --locked --features arch,pgp,license; run ID 08751b0d-fcc4-4522-a719-ce37032f1d28	99.560s; not a clean suite; pass count includes tests that can return early
2026-09-05T23:30:00Z	test-audit-final-failures	12 failures contain explicit AUR/Rekor network errors; one inventory aggregate fails outdated/SBOM commands	refused to weaken missing-package or successful-artifact assertions to accept network outages	arch_cli_contracts advertised_json_outputs_are_valid_json; cli_comprehensive behavior_inventory_runs_in_hermetic_state and install_tests::test_install_nonexistent; coverage_2 forged_self_asserted_account_does_not_paywall_slsa; e2e_package_operations test_info_nonexistent_package; error_recovery_tests test_install_missing_packages_fails_without_corrupting_state; error_tests helpful_messages::test_errors_show_context and invalid_input_errors::test_invalid_package_name_error; install_update_comprehensive command_integration_tests::test_status_after_failed_install and install_error_tests::test_install_helpful_error_messages and install_error_tests::test_install_package_missing_from_mock_index_fails_cleanly; privilege_tests test_special_chars_in_package_names and test_sudo_command_not_found_reports_error	OPEN: deterministic local external-service seams required
2026-09-05T23:30:00Z	test-audit-environment-controls	history timeout and resolver failure were audit-environment effects	history passed in 32.802s with longer timeout; bind actual resolver target read-only under private run directory restored resolver test without network	core::history::tests::retired_transactions_are_archived_not_dropped; package_managers::aur::client::tests::sandbox_mounts_external_resolver_target	both passed; no production or assertion weakening
2026-09-05T23:30:00Z	test-audit-verification	all-target Arch Clippy with warnings denied, rustfmt check, diff check and independent review passed	independent reviewer found no newly introduced false-green checks; slop tool abstains on Rust	cargo clippy --locked --features arch,pgp,license --all-targets -- -D warnings; cargo fmt --all -- --check; git diff --check	code diff SHA256 excluding tests/README.md: 4b42d67ea1bff982b4105081d8c54e6d97ee8199ecf9050d1a712aac54b6d993
2026-09-05T23:30:00Z	test-audit-limits	no claim all tests are meaningful or all behaviors covered	four mutations experimentally proven; other ledger items remain static candidates; no ignored destructive/live tests, other-platform suite, doctest or sustained fuzz execution	this audit and user authorization for safe broad verification	preserved previous seven-file changes; no issues closed, no checks disabled, no production security restrictions relaxed
